Id,Title,Genre,Director,Year
,The Hateful Eight,Western,Quentin Tarantino,2015
,Tenet,Action,Christopher Nolan,2020
,Snatch,Crime,Guy Ritchie,2000
,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,Gore Verbinski,2003
,Oldboy,Action,Park Chan-wook,2003
,The Dark Knight,Action,Christopher Nolan,2008
,Inception,Action,Christopher Nolan,2010
,Prisoners,Thriller,Denis Villeneuve,2013
,Nightcrawler,Thriller,Dan Gilroy,2014
,Sicario,Action,Denis Villeneuve,2015
,Parasite,Drama,Bong Joon Ho,2019
,La La Land,Musical,Damien Chazelle,2016
,Jarhead,War,Sam Mendes,2005
,The Shining,Thriller,Stanley Kubrick,1980
,Inglourious Basterds,Adventure,Quentin Tarantino,2009
,Tropic Thunder,Comedy,Ben Stiller,2008
,Iron Man,Action,Jon Favreau,2008
,Triangle of Sadness,Drama,Ruben Östlund,2022
,Oppenheimer,Biopic,Christopher Nolan,2023
